Nom,Connections Nombre,Date,Dates de Tirage,Dernier Tirage,Description,Elément de la Suite,Mots-clés de la Suite,Nombre de Tirages,Nombres et Cartes de la Court🦄,Numbre Lié,Numerologie,Numéro Random,Renversée,Signification,Signification du Nombre,Suite,Suite 1,TIRAGES,TIRAGES DE TAROT 🪬,Tarot Suites 🦄
IX L’Ermite,"https://www.notion.so/30f59c0f4dd54af4ab2ecb9229fc6423, https://www.notion.so/81486c11e9f74d40866624d6e245e7c8, https://www.notion.so/8e82231fe1f84fe596700cf4ffe5de92, https://www.notion.so/d35ac4e06a4544769b7343950db70a31, https://www.notion.so/db9bdef69fa543ac9e602924e88d8e2f, https://www.notion.so/ec2fb8726d9c4fb995fb63f4cfcd8172",,,,"La différence avec les modèles conventionnels dans cette carte est seulement que la lampe n'est pas partiellement enveloppée dans le manteau de son porteur, qui mêle l'idée de l'Ancien des Jours à la Lumière du Monde C'est une étoile qui brille dans la lanterne. J'ai dit qu'il s'agissait d'une carte de réussite, et pour prolonger cette conception, le personnage est vu tenant son phare sur une éminence. L'Hermite n'est donc pas, comme l'explique Court de Gebelin, un sage à la recherche de la vérité et de la justice ; il n'est pas non plus, comme le propose une explication ultérieure, un exemple particulier d'expérience. Son phare indique que ""là où je suis, vous pouvez aussi être""... C'est en outre une carte qui est comprise de manière tout à fait incorrecte lorsqu'elle est liée à l'idée d'isolement occulte, comme protection du magnétisme personnel contre le mélange. C'est l'une des interprétations frivoles que nous devons à Éliphas Lévi. Elle a été adoptée par l'Ordre français du martinisme et certains d'entre nous ont beaucoup entendu parler de la Philosophie silencieuse et inconnue enveloppée par son manteau de la connaissance des profanes. Dans le véritable martinisme, la signification du terme Philosophe inconnu était d'un autre ordre. Elle ne se référait pas à la dissimulation intentionnelle des Mystères Institués, et encore moins de leurs substituts, mais - comme la carte elle-même - à la vérité que les Mystères Divins assurent leur propre protection contre ceux qui ne sont pas préparés.",,"Transformation, lâcher-prise, approfondissement, l'inconscient",1,,9,Neuf (https://www.notion.so/Neuf-3e80e97e22564b17bc1343bdb2242adb?pvs=21),✨10,"Isolement, solitude; Dissimulation, déguisement, politique, peur, prudence irraisonnée.","Écouter à l'intérieur, Prudence, circonspection ; aussi et surtout trahison, dissimulation, friponnerie, corruption.",Intégration des enseignements tirés des autres numéros,Arcane Majeure : Ligne de Mort,Arcane Majeure : 2ème ligne (https://www.notion.so/Arcane-Majeure-2-me-ligne-97dab140117e45a3a8a808994b8d07fe?pvs=21),Les problèmes de l’été (https://www.notion.so/Les-probl-mes-de-l-t-8f571347361940d99bebe8b1591d7f32?pvs=21),,
Deux de Pentacles,"https://www.notion.so/45dcdc05ce5143f39a175c8a0c248044, https://www.notion.so/6b332450c461455ea8b55a3c2d44a732, https://www.notion.so/7d601c69d2204d5e8caf5f41a24d6ec0, https://www.notion.so/90262c49ad634373865b83f7c2e9c3ec, https://www.notion.so/a85d694b6bce437ea2304bf23dbfdccb, https://www.notion.so/b06474f617794d3490c3d30c6169cda7, https://www.notion.so/fbaaf63b7e954ea999d02b37912624da",,,,"Un jeune homme, en train de danser, tient un pentacle dans chaque main, et ils sont reliés par cette corde sans fin qui est comme le chiffre 8 inversé.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,2,Deux (https://www.notion.so/Deux-2fc9d09967e54e819d63befe47b36334?pvs=21),✨38,"Déséquilibre, accablé/débordé (overwhelmed); Gaieté forcée, plaisir simulé, sens littéral, écriture manuscrite, composition, lettres d'échange.","Équilibre, adaptabilité. D'une part, il est représenté comme une carte de la gaieté, de la récréation et de ses connexions, ce qui est le sujet du dessin ; mais il est également lu comme des nouvelles et des messages écrits, comme des obstacles, de l'agitation, des ennuis, des embrouilles.","Dualité, Intuition",Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
XIV La Tempérance,"https://www.notion.so/02607a24b1004b958e1fcc325b077d43, https://www.notion.so/0e32926d98784416951ee5af3efd2809, https://www.notion.so/43f0f7a0e8d84ac79ee317ac41b8cc9b, https://www.notion.so/5c8f48d7b6404ac986c87153ccd48660, https://www.notion.so/8d516790c57d45bfb82be0dca4be42ed, https://www.notion.so/ce3debfe0aaf4d279296b9cc563c3cb1",,,,"Un ange ailé, avec le signe du soleil sur le front et sur la poitrine le carré et le triangle du septénaire. Je parle de lui au sens masculin, mais la figure n'est ni masculine ni féminine. Il est considéré comme versant les essences de la vie de calice en calice. Il a un pied sur la terre et un pied sur les eaux, illustrant ainsi la nature des essences. Un chemin direct monte jusqu'à certaines hauteurs au bord de l'horizon, et au-dessus il y a une grande lumière, à travers laquelle on voit vaguement une couronne. C'est là une partie du secret de la vie éternelle, telle qu'elle est possible à l'homme dans son incarnation. On renonce ici à tous les emblèmes conventionnels, ainsi qu'aux significations conventionnelles qui se réfèrent au changement des saisons, au mouvement perpétuel de la vie et même à la combinaison des idées. Il est d'ailleurs faux de dire que la figure symbolise le génie du soleil, bien qu'elle soit l'analogie de la lumière solaire, réalisée dans la troisième partie de notre triplicité humaine. On l'appelle fantastiquement Tempérance, parce que, lorsque la règle de celle-ci s'impose à notre conscience, elle tempère, combine et harmonise les natures psychique et matérielle. Sous cette règle, nous savons, dans notre partie rationnelle, d'où nous venons et où nous allons.",,"Transformation, lâcher-prise, approfondissement, l'inconscient",0,,14,Cinq (https://www.notion.so/Cinq-e1b3287c821e44a2a793a6a1dcbc7e97?pvs=21),✨15,"Manque d'équilibre, extrêmes; Les choses liées aux églises, aux religions, aux sectes, au sacerdoce, parfois même au prêtre qui épousera le Quérant ; également la désunion, les combinaisons malheureuses, les intérêts concurrents.","Equilibre, Économie, modération, frugalité, gestion, hébergement.","Chrysalide, l'obscurité comme partie de la transformation",Arcane Majeure : Ligne de Mort,Arcane Majeure : 2ème ligne (https://www.notion.so/Arcane-Majeure-2-me-ligne-97dab140117e45a3a8a808994b8d07fe?pvs=21),,,
Six de Pentacles,"https://www.notion.so/2d2b37fc265745008eb73475092a4278, https://www.notion.so/4709ecb04be74dc8b530e7d7fd7dcc71, https://www.notion.so/51331b416be648c78509bc7448548291, https://www.notion.so/8b38a428641b4738ac23d4deca431b0f, https://www.notion.so/dd67761b50d34651a928c20f94110a96, https://www.notion.so/f9db2aadbec64204887e60a0a9f8ad55",,,,"Une personne déguisée en marchand pèse de l'argent dans une balance et le distribue aux personnes dans le besoin et en détresse. C'est un témoignage de sa propre réussite dans la vie, ainsi que de sa bonté d'âme.",🌱Terre,"Corps, fabrication, rapport aux ressources",0,,6,Six (https://www.notion.so/Six-7dc5f0e583094f4481277414c377ddc8?pvs=21),✨42,"Dette, Accumulation; Désir, cupidité, envie, jalousie, illusion.","Donner et recevoir. Présents, cadeaux, gratification ; un autre compte dit attention, vigilance ; le moment est venu, la prospérité actuelle, etc.","Expansion, créativité, sortie de la chrysalide",Pentacles,Pentacles (https://www.notion.so/Pentacles-6dc23f23bede4957b9abf2c636fd3199?pvs=21),,,
Valet de Coupes,"https://www.notion.so/23c7fe323e1844ecb09c67a778aeba45, https://www.notion.so/62c7cb232f184db485db25fe242d4911, https://www.notion.so/a7127f4e6e6b4554ad705e9a7376206f, https://www.notion.so/f06d93a40e144c27a775c53504d7a7e6",,,,"Un page beau, agréable, quelque peu efféminé, d'aspect studieux et intentionné, contemple un poisson qui se lève d'une tasse pour le regarder. Ce sont les images de l'esprit qui prennent forme.",💧Eau,"Emotions, Relations",0,,11,Valets (https://www.notion.so/Valets-c8b9e76ce95144e6865ed04a07b0914b?pvs=21),✨75,"Immaturité émotionnelle; Goût, inclination, attachement, séduction, tromperie, artifice.","Rêveur, créativité; Beau jeune homme, celui qui est poussé à rendre service et avec qui le Quérant sera en rapport ; une jeunesse studieuse ; nouvelles, message ; application, réflexion, méditation ; aussi ces choses dirigées vers les affaires.",Racines/Fondations,Coupes,Coupes (https://www.notion.so/Coupes-27f997d58d8d427c917ebcdc8cf6ae77?pvs=21),,,
XV Le Diable,"https://www.notion.so/2d2b37fc265745008eb73475092a4278, https://www.notion.so/4709ecb04be74dc8b530e7d7fd7dcc71, https://www.notion.so/51331b416be648c78509bc7448548291, https://www.notion.so/8b38a428641b4738ac23d4deca431b0f, https://www.notion.so/dd67761b50d34651a928c20f94110a96, https://www.notion.so/f9db2aadbec64204887e60a0a9f8ad55",,,,"Le dessin est une accommodation, une moyenne ou une harmonie, entre plusieurs motifs mentionnés dans la première partie. La chèvre cornue de Mendès, avec des ailes semblables à celles d'une chauve-souris, est debout sur un autel. Au creux de l'estomac se trouve le signe de Mercure. La main droite est levée et étendue, ce qui est l'inverse de la bénédiction donnée par le Hiérophante dans la cinquième carte. Dans la main gauche se trouve une grande torche enflammée, inversée vers la terre. Un pentagramme inversé se trouve sur le front. Devant l'autel, il y a un anneau d'où partent deux chaînes portées au cou de deux personnages, un homme et une femme. Ceux-ci sont analogues à ceux de la cinquième carte, comme si Adam et Eve après la chute. Les personnages ont une queue, pour signifier la nature animale, mais il y a une intelligence humaine dans les visages, et celui qui est élevé au-dessus d'eux ne doit pas être leur maître pour toujours. Même maintenant, il est aussi un esclave, soutenu par le mal qui est en lui et aveugle à la liberté du service. Avec plus que sa dérision habituelle pour les arts qu'il prétend respecter et interpréter comme un maître en la matière, Éliphas Lévi affirme que la figure baphométique est la science occulte et la magie. Un autre commentateur dit que dans le monde divin, elle signifie la prédestination, mais qu'il n'y a pas de correspondance dans ce monde avec les choses qui, en bas, sont de la brute. Ce qu'il signifie, c'est l'habitant du seuil sans le jardin mystique, lorsque sont chassés de celui-ci ceux qui ont mangé le fruit défendu.",,"Renaissance, émergence",0,,15,Six (https://www.notion.so/Six-7dc5f0e583094f4481277414c377ddc8?pvs=21),✨16,"Rigidité; Fatalité du mal, faiblesse, mesquinerie, aveuglement.","Rebellion, liberté, Ravage, violence, véhémence, efforts extraordinaires, force, fatalité ; ce qui est prédestiné mais n'est pas pour autant mauvais.","Expansion, créativité, sortie de la chrysalide",Arcane Majeure : Spirale de Renaissance,Arcane Majeure : 3ème Ligne (https://www.notion.so/Arcane-Majeure-3-me-Ligne-7826df0c5a0f44b6a7670726a851e93a?pvs=21),,,
Huit de Bâtons,"https://www.notion.so/0f16cb79cc4249b98771ffc5c6396dbd, https://www.notion.so/394b21f3f2c94669b237db5ba0b4aa2d, https://www.notion.so/5e45d9172a5e4969b9de36d5d6bb3b0e, https://www.notion.so/ad97e5932f8c4f27b99ee408fec5c54f, https://www.notion.so/d2cfbe5be31f4282b792e2d02ef5bf9a, https://www.notion.so/d661a1f78b914aef976db67812f3f0a7",,,,"La carte représente le mouvement à travers l'immobile - un vol de baguettes à travers un pays ouvert ; mais elles arrivent au terme de leur parcours. Ce qu'ils signifient est à portée de main, peut-être même sur le seuil.",🔥 Feu,"Feu, action, créativité",0,,8,Huit (https://www.notion.so/Huit-c63bc808e73246ffae792435b478ce3a?pvs=21),✨30,"Impatience/stagnation; Les flèches de la jalousie, les disputes internes, les aiguillons de la conscience, les querelles ; et les disputes domestiques pour les personnes mariées.","Mouvement, changement, L'activité dans les entreprises, le chemin de cette activité, la rapidité, comme celle d'un messager express ; une grande hâte, un grand espoir, la vitesse vers une fin qui promet une félicité assurée ; généralement, ce qui est en mouvement ; aussi les flèches de l'amour.","Transformation, mouvement",Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Cavalier de Bâtons,"https://www.notion.so/0b75286cf7cc4593a5af61c35fdb0409, https://www.notion.so/4df8d7879b124d0391a4fc310b7683f5, https://www.notion.so/dd549fc1beb14beeb76cff33051e8995, https://www.notion.so/ef7c8d34505c4011b090a57a66f84586",,,,"Il est montré comme s'il était en voyage, armé d'un court bâton, et bien qu'il soit voilé, il n'est pas en mission de guerre. Il passe devant des monticules ou des pyramides. Le mouvement du cheval est une clé du caractère de son cavalier, et suggère l'humeur précipitée, ou des choses liées à celle-ci.",🔥 Feu,"Feu, action, créativité",0,,12,Chevaliers (https://www.notion.so/Chevaliers-d6f8a00523984d24805f1b4ef4d77271?pvs=21),✨34,"Hésitation, précipitation; Rupture, division, interruption, discorde.","Mouvement créatif. Départ, absence, fuite, émigration. Un jeune homme brun, sympathique. Changement de résidence.",Mouvement,Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
Cavalier d’Epées,"https://www.notion.so/0b75286cf7cc4593a5af61c35fdb0409, https://www.notion.so/4df8d7879b124d0391a4fc310b7683f5, https://www.notion.so/dd549fc1beb14beeb76cff33051e8995, https://www.notion.so/ef7c8d34505c4011b090a57a66f84586",,,,"Plus mauvais côté de ces qualités ; ce qui est imprévu, état non préparé ; la maladie est également suggérée. Il chevauche en pleine course, comme pour disperser ses ennemis. Dans sa conception, il est vraiment un héros prototypique de la chevalerie romantique. Il pourrait presque être Galahad, dont l'épée est rapide et sûre parce qu'il a le cœur pur.",🌬Air,"Esprit, Imaginaire, Mental",0,,12,Chevaliers (https://www.notion.so/Chevaliers-d6f8a00523984d24805f1b4ef4d77271?pvs=21),✨62,"Manque d'action, imprudence; Imprudence, incapacité, extravagance.","Action décisive, ambition. Habileté, bravoure, capacité, défense, adresse, inimitié, colère, guerre, destruction, opposition, résistance, ruine. Il y a donc un sens dans lequel la carte signifie la mort, mais elle ne porte ce sens que dans sa proximité avec d'autres cartes de fatalité.",Mouvement,Epées,Epées (https://www.notion.so/Ep-es-bcb057fdbc6f4faab96344f1bddec5bc?pvs=21),,,
Roi de Bâtons,"https://www.notion.so/0e7ef84f1d7c4211898fc0ad598b0f09, https://www.notion.so/59c183dcf98947f1a886fd2212a0c1b2, https://www.notion.so/9e8957fe4c054bc0bef907d6a3f42fbc, https://www.notion.so/db348cc2dbfd4495885168a5fec2ba17",,,,"La nature physique et émotionnelle à laquelle cette carte est attribuée est sombre, ardente, légère, animée, passionnée, noble. Le roi lève un bâton fleuri et porte, comme ses trois correspondants dans les autres combinaisons, ce que l'on appelle un chapeau de maintien sous sa couronne. Il se rattache au symbole du lion, qui est inscrit sur le dos de son trône.",🔥 Feu,"Feu, action, créativité",0,,14,Rois (https://www.notion.so/Rois-d1cba03a95144655aed1ef253fd839f4?pvs=21),✨36,"Résistance à diriger ou à être dominateur; Bon, mais sévère ; austère, mais tolérant.","Innovation, visionnaire, leadership. Homme brun, sympathique, campagnard, généralement marié, honnête et consciencieux. La carte signifie toujours l'honnêteté, et peut signifier des nouvelles concernant un héritage inattendu à tomber avant très longtemps.",Concrétisation,Bâtons,Bâtons (https://www.notion.so/B-tons-bb87bd4935944028bfbf72b7897c337e?pvs=21),,,
